BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA633940	SRR11814768	SAMN14917485	NA	seed	late grain filling stage	Gonggu62 43.89 N 125.32 E	RNA_B370	NA	cultivar:Gonggu62_43.89_N_125.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814769	SAMN14917484	NA	seed	late grain filling stage	Gonggu61 43.89 N 125.32 E	RNA_B369	NA	cultivar:Gonggu61_43.89_N_125.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814770	SAMN14917483	NA	seed	late grain filling stage	Gonggu60 43.89 N 125.32 E	RNA_B368	NA	cultivar:Gonggu60_43.89_N_125.32_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814771	SAMN14917220	NA	seed	late grain filling stage	Dacaopi 49.17 N 125.21 E	RNA_B003	NA	cultivar:Dacaopi_49.17_N_125.21_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814772	SAMN14917417	NA	seed	late grain filling stage	Jigu29 38.05 N 114.49 E	RNA_B281	NA	cultivar:Jigu29_38.05_N_114.49_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814773	SAMN14917416	NA	seed	late grain filling stage	Jigu26 38.05 N 114.49 E	RNA_B280	NA	cultivar:Jigu26_38.05_N_114.49_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814774	SAMN14917415	NA	seed	late grain filling stage	Jigu24 38.05 N 114.49 E	RNA_B279	NA	cultivar:Jigu24_38.05_N_114.49_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814775	SAMN14917414	NA	seed	late grain filling stage	Jigu22 38.05 N 114.49 E	RNA_B278	NA	cultivar:Jigu22_38.05_N_114.49_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814776	SAMN14917413	NA	seed	late grain filling stage	Jigu21 38.05 N 114.49 E	RNA_B277	NA	cultivar:Jigu21_38.05_N_114.49_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814777	SAMN14917412	NA	seed	late grain filling stage	Jigu20 38.05 N 114.49 E	RNA_B276	NA	cultivar:Jigu20_38.05_N_114.49_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814778	SAMN14917411	NA	seed	late grain filling stage	Jigu38 38.05 N 114.49 E	RNA_B275	NA	cultivar:Jigu38_38.05_N_114.49_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
PRJNA633940	SRR11814779	SAMN14917365	NA	seed	late grain filling stage	338A 42.27 N 118.95 E	RNA_B208	NA	cultivar:338A_42.27_N_118.95_E;age:1;dev_stage:Late_grain_filling_stage;geo_loc_name:missing;tissue:seed
