BioProject	SRA	Biosample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA262032	SRR1618548	SAMN03079343	NA	seeds 5 days after pollination	NA	Nipponbare (EFO 0007587)	seeds_5DAP	NA	ENA_first_public:2016-05-20;ENA_last_update:2016-05-20;ENA-CHECKLIST:ERC000035;External_Id:SAMEA3998143;INSDC_center_alias:ENA;INSDC_center_name:ENA;INSDC_first_public:2016-05-20T16:38:06Z;INSDC_last_update:2016-05-20T15:56:30Z;INSDC_status:public;Submitter_Id:SRR1618548_SAMN03079343;common_name:Japanese_rice;cultivar:Nipponbare_(EFO_0007587);experimental_factor_1:organism_part;organism_part:seed_(EFO_0000991);recurated_from:SAMN03079343;sample_name:SRR1618548_SAMN03079343;sampling_time_point:5_days_after_pollination_(EFO_0000991);cultivar:Nipponbare;biomaterial_provider:Guangdong_Academy_Of_Agricultural_Sciences;tissue:seeds_5_days_after_pollination;geo_loc_name:missing;age:missing
PRJNA773224	SRR16526863	SAMN22452877	NA	young panicles	young panicle stage	Nipponbare	WT-YP_rep1	NA	isolate:RNA;cultivar:Nip;dev_stage:Young_panicle_stage;geo_loc_name:China:Wuhan;tissue:Young_panicles;replicate:biological_replicate_1
PRJNA773224	SRR16526864	SAMN22452876	NA	flag leaf	flag leaf stage	Nipponbare	WT-FL_rep3	NA	isolate:RNA;cultivar:Nip;dev_stage:Flag_leaf_stage;geo_loc_name:China:Wuhan;tissue:Flag_leaves;replicate:biological_replicate_3
PRJNA773224	SRR16526865	SAMN22452875	NA	flag leaf	flag leaf stage	Nipponbare	WT-FL_rep2	NA	isolate:RNA;cultivar:Nip;dev_stage:Flag_leaf_stage;geo_loc_name:China:Wuhan;tissue:Flag_leaves;replicate:biological_replicate_2
PRJNA773224	SRR16526866	SAMN22452874	NA	flag leaf	flag leaf stage	Nipponbare	WT-FL_rep1	NA	isolate:RNA;cultivar:Nip;dev_stage:Flag_leaf_stage;geo_loc_name:China:Wuhan;tissue:Flag_leaves;replicate:biological_replicate_1
PRJNA773224	SRR16526871	SAMN22452879	NA	young panicles	young panicle stage	Nipponbare	WT-YP_rep3	NA	isolate:RNA;cultivar:Nip;dev_stage:Young_panicle_stage;geo_loc_name:China:Wuhan;tissue:Young_panicles;replicate:biological_replicate_3
PRJNA773224	SRR16526872	SAMN22452878	NA	young panicles	young panicle stage	Nipponbare	WT-YP_rep2	NA	isolate:RNA;cultivar:Nip;dev_stage:Young_panicle_stage;geo_loc_name:China:Wuhan;tissue:Young_panicles;replicate:biological_replicate_2
PRJNA786704	SRR17151219	SAMN23710264	NA	endosprm	autonomoust endosperm	Nipponbare	AutoEN3	NA	cultivar:Nipponbare;dev_stage:autonomoust_endosperm;geo_loc_name:Australia:_Canberra;tissue:endosprm;replicate:replicate3
PRJNA827493	SRR18827797	SAMN27611118	NA	leaf	seedling	Nipponbare	Oryza_sativa_Japonica_Group	NA	cultivar:Nipponbare;dev_stage:the_rice_seedling_stage;geo_loc_name:Japan;tissue:rice_leaf_tissues
PRJNA827493	SRR18827798	SAMN27611118	NA	leaf	seedling	Nipponbare	Oryza_sativa_Japonica_Group	NA	cultivar:Nipponbare;dev_stage:the_rice_seedling_stage;geo_loc_name:Japan;tissue:rice_leaf_tissues
