BioProject	SRA	BioSample	treatment	tissue	stage	cultivar	code	temperature	attributes
PRJNA650146	SRR12399894	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399895	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399896	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399897	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399898	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399899	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399903	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399904	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399905	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399906	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399907	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399908	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399909	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399910	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399911	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
PRJNA650146	SRR12399912	SAMN15693839	NA	leaf	three leaf stage	NA	Proso_millet	NA	ecotype:earlybird/USDAPI 578073; dev stage:Three leaf stage; geo loc name:USA: Nebraska; tissue:leave
